msoa_code,msoa_name,nte_businesses_2017,pub_workplaces_2017,licensed_food_2017,clubs_2017,cim_nightlife_poi_count,cim_grassroots_music_count,cim_nightclub_count,cim_cultural_poi_count,cim_lgbt_venue_count,activity_index,support_index
E02000977,Westminster 018,,95.0,1270.0,100.0,34.0,2.0,23.0,54.0,5.0,0.8984375,0.6901098901098901
E02000972,Westminster 013,,130.0,1270.0,100.0,25.0,8.0,19.0,24.0,14.0,0.6979792024013722,0.9454545454545455
E02000001,City of London 001,,160.0,295.0,15.0,17.0,1.0,8.0,48.0,,0.672455688965123,0.18773258904837853
E02000193,Camden 028,,45.0,600.0,20.0,10.0,4.0,2.0,30.0,1.0,0.2866504073756432,0.2539799381904645
E02000575,Islington 022,,40.0,370.0,10.0,11.0,5.0,4.0,17.0,,0.2478201829616924,0.28642848379690483
E02000979,Westminster 020,,30.0,1270.0,100.0,1.0,,,28.0,,0.23231132075471697,0.6666666666666666
E02000808,Southwark 002,,40.0,295.0,15.0,7.0,1.0,6.0,14.0,,0.2260934819897084,0.11197501329080277
E02000191,Camden 026,,25.0,600.0,20.0,1.0,,,25.0,1.0,0.20302672955974843,0.14215024741340532
E02000358,Hackney 014,,5.0,285.0,15.0,11.0,4.0,5.0,,1.0,0.1720328282828283,0.19791728739097159
E02006801,Lambeth 036,,20.0,295.0,15.0,7.0,,,12.0,1.0,0.1714551172098342,0.11197501329080277
E02000186,Camden 021,,20.0,600.0,20.0,11.0,7.0,4.0,7.0,,0.16940037164093769,0.4321935374566953
E02000791,Richmond upon Thames 008,,25.0,195.0,15.0,,,,,,0.15625,0.09255510571300045
E02000970,Westminster 011,,35.0,1270.0,100.0,4.0,,1.0,16.0,,0.14816948970840482,0.6969696969696969
E02000978,Westminster 019,,15.0,1270.0,100.0,4.0,,,13.0,,0.13702472841623783,0.6969696969696969
E02000576,Islington 023,,25.0,370.0,10.0,5.0,,3.0,7.0,,0.12039468982275586,0.13082239398028872
E02000878,Tower Hamlets 015,,15.0,320.0,10.0,6.0,2.0,2.0,8.0,,0.10569879216695255,0.1312853812853813
E02000573,Islington 020,,30.0,370.0,10.0,6.0,1.0,2.0,3.0,,0.10555138650657518,0.10569255306097411
E02000620,Lambeth 003,,10.0,295.0,15.0,5.0,1.0,4.0,5.0,3.0,0.09888686392224127,0.10822802928066086
E02000367,Hackney 023,,10.0,285.0,15.0,7.0,3.0,2.0,,,0.0965909090909091,0.18137929322139848
E02000864,Tower Hamlets 001,,5.0,320.0,10.0,8.0,1.0,3.0,1.0,,0.08357007575757576,0.11072261072261072
E02000574,Islington 021,,20.0,370.0,10.0,3.0,2.0,,4.0,2.0,0.08073661139698875,0.11032826822300508
E02006802,Southwark 034,,5.0,295.0,15.0,,,,7.0,,0.07222877358490566,0.13304093567251463
E02000831,Southwark 025,,10.0,295.0,15.0,4.0,1.0,2.0,,1.0,0.06628787878787878,0.07139819245082404
E02000361,Hackney 017,,5.0,285.0,15.0,5.0,4.0,2.0,,1.0,0.06597222222222222,0.16155365102733524
E02000577,Kensington and Chelsea 001,,5.0,400.0,20.0,5.0,1.0,2.0,,,0.06597222222222222,0.13196744775692143
E02000362,Hackney 018,,5.0,285.0,15.0,5.0,2.0,2.0,,,0.06597222222222222,0.13051349235559762
E02000369,Hackney 025,,5.0,285.0,15.0,5.0,1.0,2.0,,,0.06597222222222222,0.0947992066413119
E02000192,Camden 027,,20.0,600.0,20.0,1.0,,1.0,8.0,,0.0642688679245283,0.18953366321787377
E02000595,Kensington and Chelsea 019,,10.0,400.0,20.0,,,,,,0.0625,0.20332883490778228
E02000483,Havering 020,,10.0,130.0,20.0,,,,,,0.0625,0.09401709401709402
E02000930,Wandsworth 008,,20.0,275.0,20.0,,,,1.0,,0.0625,0.15272154745838956
E02000083,Bexley 019,,10.0,110.0,20.0,,,,,,0.0625,0.08591992802519118
E02000042,Barnet 019,,10.0,270.0,10.0,,,,,,0.0625,0.0951417004048583
E02000284,Enfield 008,,10.0,150.0,15.0,,,,,,0.0625,0.07433648223121908
E02000280,Enfield 004,,10.0,150.0,15.0,,,,,,0.0625,0.07433648223121908
E02000087,Bexley 023,,10.0,110.0,20.0,,,,,,0.0625,0.08591992802519118
E02000785,Richmond upon Thames 002,,10.0,195.0,15.0,,,,,,0.0625,0.09255510571300045
E02000975,Westminster 016,,10.0,1270.0,100.0,,,,,,0.0625,1.0
E02000804,Richmond upon Thames 021,,10.0,195.0,15.0,,,,,,0.0625,0.09255510571300045
E02000834,Southwark 028,,10.0,295.0,15.0,,,,,,0.0625,0.13304093567251463
E02000608,Kingston upon Thames 011,,10.0,120.0,10.0,,,,,,0.0625,0.03441295546558704
E02000543,Hounslow 018,,10.0,150.0,20.0,,,,,,0.0625,0.10211426000899684
E02000476,Havering 013,,10.0,130.0,20.0,,,,,,0.0625,0.09401709401709402
E02000124,Brent 032,,10.0,190.0,15.0,,,,,,0.0625,0.09053081421502474
E02000764,Redbridge 014,,10.0,130.0,10.0,,,,,,0.0625,0.038461538461538464
E02000634,Lambeth 017,,10.0,295.0,15.0,,,,,,0.0625,0.13304093567251463
E02000090,Bexley 026,,10.0,110.0,20.0,,,,,,0.0625,0.08591992802519118
E02000832,Southwark 026,,10.0,295.0,15.0,,,,,1.0,0.0625,0.08869395711500976
E02000184,Camden 019,,10.0,600.0,20.0,5.0,3.0,1.0,,,0.061237373737373736,0.24388184914500705
E02000177,Camden 012,,5.0,600.0,20.0,4.0,3.0,,,,0.061079545454545456,0.23630609156924948
E02000980,Westminster 021,,10.0,1270.0,100.0,,,,4.0,,0.05955188679245283,1.0
E02000974,Westminster 015,,15.0,1270.0,100.0,,,,2.0,,0.05630896226415094,1.0
E02000183,Camden 018,,10.0,600.0,20.0,6.0,4.0,1.0,1.0,,0.05350378787878788,0.2871718924350503
E02000588,Kensington and Chelsea 012,,5.0,400.0,20.0,,,,5.0,,0.05336084905660377,0.20332883490778228
E02000621,Lambeth 004,,5.0,295.0,15.0,4.0,,3.0,1.0,2.0,0.053267045454545456,0.10847850979429928
E02000884,Tower Hamlets 021,,10.0,320.0,10.0,3.0,1.0,2.0,3.0,,0.05157411377930246,0.07284382284382285
E02000569,Islington 016,,10.0,370.0,10.0,4.0,4.0,1.0,,,0.05113636363636364,0.1976838950523161
E02006798,Lewisham 039,,5.0,130.0,15.0,6.0,2.0,1.0,2.0,1.0,0.05040826901086335,0.08537018537018537
E02000981,Westminster 022,,10.0,1270.0,100.0,,,,3.0,,0.05011792452830188,1.0
E02006854,Tower Hamlets 033,,10.0,320.0,10.0,2.0,,,4.0,,0.04980226796264533,0.08702408702408704
E02000865,Tower Hamlets 002,,5.0,320.0,10.0,5.0,3.0,2.0,1.0,1.0,0.04947916666666667,0.12753912753912755
E02000384,Hammersmith and Fulham 013,,15.0,270.0,15.0,2.0,,,2.0,,0.04764031827711073,0.09204732888943416
E02000797,Richmond upon Thames 014,,15.0,195.0,15.0,1.0,1.0,,,,0.046875,0.046277552856500224
E02000570,Islington 017,,10.0,370.0,10.0,2.0,,,,,0.04640151515151515,0.1005193636772584
E02000630,Lambeth 013,,10.0,295.0,15.0,2.0,1.0,,,,0.04640151515151515,0.07409622541201488
E02000391,Hammersmith and Fulham 020,,10.0,270.0,15.0,2.0,,2.0,,,0.046085858585858584,0.09204732888943416
E02000918,Waltham Forest 024,,5.0,135.0,15.0,3.0,2.0,,,,0.045928030303030304,0.08499760473444684
E02000649,Lambeth 032,,5.0,295.0,15.0,3.0,2.0,,,,0.045928030303030304,0.11738626870205818
E02000973,Westminster 014,,5.0,1270.0,100.0,3.0,,2.0,,,0.045770202020202023,0.6868686868686869
E02000360,Hackney 016,,5.0,285.0,15.0,3.0,,2.0,,2.0,0.045770202020202023,0.09887846072056598
E02000187,Camden 022,,15.0,600.0,20.0,2.0,1.0,1.0,4.0,,0.045164200971983995,0.1497260049891629
E02000967,Westminster 008,,5.0,1270.0,100.0,,,,4.0,,0.04392688679245283,1.0
